,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4hrae8atte6cRlSC9a7VCO,Always On Time,Ashanti,71,2001-01-01,0.839,0.706,5,-6.104,0,0.208,0.0,0.242,0.839,96.673,245133,4
1,3Gf5nttwcX9aaSQXRWidEZ,Ride Wit Me,City Spud,73,2000-06-27,0.85,0.7,7,-6.49,1,0.0616,1.8e-06,0.244,0.722,101.875,291782,4
2,7H6ev70Weq6DdpZyyTmUXk,Say My Name,Destiny's Child,74,1999-07-27,0.713,0.678,5,-3.525,0,0.273,0.0,0.149,0.734,138.009,271333,4
3,0qvlhVNm7L5IWabWF5hlEL,Rock The Boat,Aaliyah,66,2001-07-07,0.637,0.725,5,-5.073,1,0.0702,0.00438,0.203,0.415,92.99,274733,4
4,6mz1fBdKATx6qP4oP1I65G,Pony,Ginuwine,71,1999-10-08,0.749,0.605,8,-9.359,0,0.00186,0.0381,0.115,0.966,142.024,251733,4
5,3a0Qs1ZqkjTVne2XJuSGQw,Been Waiting,Jessica Mauboy,46,2008-11-17,0.677,0.684,9,-4.377,0,0.149,0.0,0.0451,0.783,113.996,228787,4
6,0gPQTLaqHDgdupKEok7J2x,7 Days,Craig David,68,2000-08-14,0.659,0.812,4,-7.499,0,0.23,0.0,0.0951,0.888,83.014,235133,4
7,2eSJflipjhSKLExuSwuFrO,What's Luv? (feat. Ashanti),Ashanti,61,2002-02-05,0.829,0.688,8,-7.652,1,0.0142,2.05e-06,0.0461,0.869,93.857,230400,4
8,6MdqqkQ8sSC0WB4i8PyRuQ,No Diggity,Queen Pen,75,1996-09-09,0.867,0.646,1,-4.674,0,0.303,0.0,0.279,0.67,88.634,304600,4
9,7MQywXGHEev7JmwwIzMcao,Love Like This,Faith Evans,64,1998,0.767,0.551,0,-7.328,1,0.00364,0.0,0.0451,0.796,100.904,275707,4
10,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Ludacris,80,2004-03-23,0.894,0.791,2,-4.699,1,0.0183,0.0,0.0388,0.583,105.018,250373,4
