,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,6MzbO6YS0M6tjwT93hjAl0,Ave María (Arr. Víkingur Ólafsson) - Upright Piano,Víkingur Ólafsson,60,2022-07-22,0.33,0.00357,3,-33.142,1,0.995,0.953,0.0989,0.121,100.741,216213,3
1,1L4NadMj3Jj7YgGaikyhfr,"6 Consolations, S. 172: No. 3 in D-Flat Major (Lento, placido)",Daniel Barenboim,59,1992-01-01,0.368,0.00363,1,-36.759,1,0.993,0.922,0.137,0.085,69.363,254000,3
2,3hCPh4oVVjaM8tv9sFH8cx,"Suite bergamasque, L. 75: III. Clair de lune",Alice Sara Ott,58,2018-08-24,0.32,0.00501,1,-33.366,1,0.993,0.919,0.0618,0.0383,68.947,294960,5
3,5xbuJuQsTVheVZvX2AJVIv,Spring 1 - 2012,Andre de Ridder,63,2014-01-01,0.701,0.341,1,-12.26,0,0.499,0.903,0.359,0.163,105.513,151507,3
4,5U87k9mIyu2sGQppcqV4Dw,Experience - Solo Piano,Ludovico Einaudi,61,2023-02-03,0.355,0.0479,2,-28.017,1,0.986,0.958,0.115,0.0538,98.698,307203,4
5,1eqyKmkcp7b2s1PU9fEZRS,Full Moon (Arr. Lewin for Guitar),Miloš Karadaglić,53,2021-04-16,0.364,0.00799,8,-33.09,1,0.978,0.894,0.109,0.0674,101.226,216093,4
6,4tKmydUDl8OIeb7fioEsnl,Sonata No. 42 in D Minor (Arr. Ólafsson),Víkingur Ólafsson,54,2021-09-03,0.33,0.00274,2,-37.342,0,0.992,0.908,0.0668,0.188,61.088,143532,4
7,6YDgMoJ8ssOuKjQ6jiz4Kk,"12 Études, Op. 10: No. 3 in E Major",Jan Lisiecki,49,2013-01-01,0.392,0.0536,4,-23.399,1,0.995,0.867,0.0808,0.0417,71.286,234467,4
8,28XMNc5If5BmJWYDU42gkw,"Violin Concerto No. 1 in A minor, BWV 1041: I. (Allegro moderato)",Olga Watts,56,2018-06-08,0.499,0.351,9,-11.509,0,0.951,9.94e-05,0.118,0.616,90.664,235947,4
9,0vzSIBAqnN1HzvWrPbh6VF,Ala,Joep Beving,55,2019-12-06,0.384,0.125,10,-22.4,1,0.987,0.929,0.112,0.369,80.185,120741,1
10,2d6ml9Qkx8r4EjuUyrdpRV,"Nocturne No. 1 In B Flat Minor, Op. 9 No. 1",Maurizio Pollini,61,2005-01-01,0.261,0.0149,1,-27.528,1,0.992,0.897,0.102,0.0382,75.296,286987,4
11,2ZrF3UfwS50CKE8jQQVjWj,Three Postludes (1981/82): Postlude No. 3,Silke Avenhaus,52,2002-02-19,0.116,0.0011,2,-39.982,1,0.988,0.227,0.0991,0.0387,70.332,255960,3
12,48i1p3R9l9f7zjcHPJysZZ,Wind Song,Ludovico Einaudi,63,2022-01-21,0.339,0.00572,11,-32.309,0,0.986,0.923,0.103,0.0616,72.7,198650,3
13,0aDl3mGEr6eZcSwoJo91Np,irreplaceable,James Southall,50,2022-06-17,0.238,0.0747,0,-24.201,0,0.95,0.935,0.0978,0.126,117.686,271943,4
14,7N2tmiKcG2bUgZkuRKXor4,"Cello Suite No.1 In G Major, BWV 1007: 1. Prélude",Pierre Fournier,0,2007-01-01,0.205,0.129,7,-18.197,1,0.968,0.946,0.101,0.296,136.871,169924,4
15,2vz6Zep5xyCIAZgIroYL1X,"Feed the Birds - From ""Mary Poppins""",Lang Lang,54,2022-06-24,0.46,0.03,1,-22.209,1,0.987,0.897,0.0975,0.0535,133.167,261309,4
16,1D5LT3ZUtwpXFpiv18M0R2,"Préludes / Book 1, L. 117: No. 8, The Girl with the Flaxen Hair",Ruth Slenczynska,48,2022-02-11,0.461,0.0104,6,-31.073,1,0.995,0.908,0.0895,0.106,71.494,172107,5
17,1rpF77jsLBMG2QjCuhe0Sr,We Contain Multitudes — piano reworks,Ólafur Arnalds,58,2022-09-30,0.417,0.0287,7,-25.066,1,0.994,0.889,0.079,0.285,143.262,264053,4
18,3weNRklVDqb4Rr5MhKBR3D,Nuvole Bianche,Ludovico Einaudi,70,2004-01-01,0.191,0.0582,8,-25.398,1,0.961,0.89,0.0941,0.0454,132.614,357707,1
19,0H2VhGUC3P3hvwz8rdGIpC,"Bagatelle No. 25 in A Minor, WoO 59 ""Für Elise""",Lang Lang,55,2019-01-18,0.23,0.0487,5,-27.675,1,0.986,0.945,0.0679,0.101,134.839,203656,5
