,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1a2iF9XymafjRk56q7oCxo,Pride and Joy,Stevie Ray Vaughan,64,1983,0.427,0.626,8,-11.821,1,0.0274,0.00395,0.106,0.743,126.877,219587,4
1,58PSYdY0GFg0LFb2PxYk4T,Mannish Boy,Muddy Waters,60,1977,0.598,0.735,2,-10.882,1,0.44,0.000215,0.681,0.615,111.129,321133,3
2,4NQfrmGs9iQXVQI9IpRhjM,The Thrill Is Gone,B.B. King,59,1969-12-05,0.547,0.46,11,-8.759,0,0.344,0.442,0.0983,0.543,90.768,324733,4
3,2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,John Lee Hooker,59,1962-01-01,0.441,0.455,10,-14.207,1,0.62,0.00187,0.135,0.918,160.9,152351,4
4,2wnjZXcAT3rCjjqxLeHjv7,Going Down,Freddie King,59,1971,0.565,0.526,0,-11.352,1,0.0339,0.000119,0.11,0.637,167.936,204333,4
5,2HUZVffVPXvqnrml0gXggp,Smokestack Lightnin',Howlin' Wolf,58,1958-03-01,0.661,0.342,9,-16.361,0,0.844,0.000128,0.26,0.588,146.118,188400,4
6,4qYHnP5AmKzXbJhciPV8si,Ain't No Love In The Heart Of The City - Single Version,"Bobby ""Blue"" Bland",57,1974-01-01,0.518,0.376,9,-18.248,0,0.933,0.86,0.0976,0.744,158.089,233560,4
7,4KMXlzvtC8xjLseDqDjpeU,My Babe,Little Walter,57,1993-06-08,0.676,0.334,5,-10.572,1,0.862,0.0,0.32,0.867,158.0,162040,4
8,3XxBSvDZKH5YvZZjTpn6eR,Red House,Jimi Hendrix,56,1967-05-12,0.277,0.479,5,-8.483,0,0.585,0.0224,0.16,0.483,53.905,230360,4
9,3ocm1Cf1Dk1ODrdBdybh82,Born Under A Bad Sign - Mono Mix,Albert King,56,1967-01-01,0.711,0.483,11,-11.211,1,0.434,0.012,0.0284,0.884,91.652,169998,4
10,1yKah8BCP3Vgq2tPBOLKL0,All Your Love - Stereo,Eric Clapton,54,1966-06-22,0.321,0.625,2,-5.219,0,0.491,5.08e-05,0.345,0.777,107.338,212600,4
11,5MTsZG10E0hTvAkdioyPnw,Feels Like Rain (feat. Bonnie Raitt),Bonnie Raitt,54,1993-03-01,0.572,0.348,0,-13.454,1,0.44,0.000721,0.235,0.34,73.304,275267,4
12,3E0VKSvZp76kvBU2WwwBul,Leaving Trunk,Taj Mahal,54,1968,0.542,0.502,3,-10.607,0,0.195,0.00812,0.174,0.948,174.11,289560,4
13,5x7Oxaa9EEIx9nw17CC5yW,Chains And Things,B.B. King,54,1970-01-01,0.56,0.241,4,-15.385,0,0.593,0.195,0.122,0.341,79.537,293733,4
14,35X1ucjCm7rHK80qJ413ci,Somebody Loan Me A Dime,Fenton Robinson,53,1974-09-01,0.69,0.584,3,-8.864,1,0.47,2.46e-05,0.297,0.809,118.017,179693,3
15,760clbeDBWmBsBLbszWuNZ,I'm A Man,Bo Diddley,53,1958-01-01,0.513,0.546,0,-15.672,1,0.333,0.0,0.17,0.834,85.527,164547,4
16,5Oc0vLGWdEWeCqIU8zyELt,Hound Dog,Big Mama Thornton,53,1989-01-01,0.563,0.542,9,-10.862,1,0.706,3.59e-05,0.355,0.785,133.285,181000,4
17,0h06YSqzwbAU9ZDuIvw8pk,Love Me Like a Man - 2008 Remaster,Bonnie Raitt,53,1972,0.595,0.525,11,-11.582,0,0.3,3.15e-05,0.197,0.826,124.569,192200,4
18,2ROJOb98GorxStuOuZWcGd,Have You Ever Loved A Woman?,Derek & The Dominos,52,1970-11-01,0.303,0.648,0,-6.795,1,0.642,0.053,0.407,0.644,170.379,412960,3
