,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,1mlGScrDQqHqmhdIqE8MmA,Besos En Guerra,Juanes,75,2018-10-25,0.69,0.973,2,-3.588,1,0.126,0.0,0.101,0.772,143.957,231533,4
1,2eF9THQfPwVQAeHAIaLqsV,En Un Sólo Dia,Morat,43,2017-06-23,0.618,0.753,9,-5.725,1,0.0453,0.0,0.0942,0.606,143.933,202120,4
2,49jnXrETpLyGLKSVnXKDES,Cuánto Me Duele,Morat,43,2017-06-23,0.598,0.688,10,-5.731,1,0.333,0.0,0.101,0.659,142.015,229859,4
3,51GQNwKpTQyhvn2srlJL4D,Amor Con Hielo,Morat,65,2017-06-23,0.644,0.804,7,-5.278,1,0.121,0.0,0.11,0.585,135.948,203691,4
4,609yGKSSwUmlrxawuYibBL,Perdona Si Te Llamo Amor,Maldita Nerea,44,2014-10-06,0.623,0.766,7,-6.183,1,0.0648,0.000269,0.0656,0.848,89.996,211800,4
5,6IukuUL2wwXBMQgbNsBnKK,Para que el mundo lo vea - Acústico,Arnau Griso,39,2017-03-02,0.679,0.439,5,-7.843,0,0.39,0.0,0.0332,0.866,119.139,220206,3
6,4SPhhyP7xQhGL224GUKR8g,No sé nadar - Acústico,Arnau Griso,33,2016-04-04,0.623,0.39,5,-7.858,1,0.45,0.0,0.0977,0.899,97.302,210486,4
7,0GKlIuZcQCiv8bvWgRNiAb,Es gratis - Acústico,Arnau Griso,45,2016-04-04,0.743,0.406,2,-10.106,1,0.508,0.0,0.0844,0.903,126.127,203080,4
8,5BDP2tky8oMQJPS33frKVp,Un Año,Reik,64,2019-01-18,0.771,0.382,1,-6.808,0,0.148,0.0,0.104,0.535,94.931,164440,4
9,4khWEpnaijN0G1x019Uzdr,No Se Va,Morat,81,2018-10-25,0.734,0.685,0,-5.37,1,0.117,0.0,0.109,0.754,92.042,216753,4
10,3mN2DtljBhnrIpc3Nu2pJ8,Déjate Querer,Trapical Minds,58,2019-02-28,0.755,0.792,6,-4.238,1,0.028,0.0,0.0754,0.844,106.014,202824,4
11,4ivg0U8i4OdLZQX10bxWHY,Volar,Alvaro Soler,0,2016-07-15,0.729,0.819,5,-7.765,1,0.667,0.000142,0.0891,0.933,95.048,181067,4
12,1Kjer1JoWuJGNwGV6Pbgv1,Cristina,Sebastian Yatra,58,2019-03-22,0.649,0.502,5,-4.368,1,0.286,0.0,0.166,0.695,87.0,202040,3
13,3DN6Gss0WIEMXc1AvnrAA5,Ay Corazón,Cali Y El Dandee,57,2019-02-13,0.727,0.712,5,-4.476,0,0.0183,0.0,0.0727,0.782,172.068,190288,4
14,05ZXXyeZFhZtA6DAP3Aw7x,Loca (feat. Cali y El Dandee),Cali Y El Dandee,56,2017-05-12,0.751,0.839,9,-3.367,1,0.11,0.0,0.0865,0.639,95.019,234366,4
15,4unOsvr9C2NqI9aJXrxpCy,Sirenas,Taburete,4,2016-11-18,0.686,0.574,5,-6.249,1,0.739,0.0,0.109,0.251,126.98,184250,4
16,5NQw5WJwKRPaaSDHXD04Fs,Lady Madrid,Pereza,59,2009-08-25,0.598,0.655,0,-2.761,1,0.359,0.0,0.0922,0.377,115.041,191587,4
17,3uU6dqBjVKRTPis0RrTaT4,Las de la Intuición,Shakira,71,2005-06-03,0.728,0.731,2,-7.075,0,0.0331,0.351,0.0888,0.602,130.032,220667,4
