,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Dopamine,78,2021-01-15,0.824,0.862,2,-3.424,1,0.0076,0.000132,0.303,0.801,122.98,169153,4
1,5ZduaRci3iNUiDfJbBfAaf,Give It To Me - Full Vocal Mix,Matt Sassari,81,2021-10-22,0.874,0.869,1,-5.996,0,0.00116,0.00238,0.164,0.726,126.027,102861,4
2,4zN21mbAuaD0WqtmaTZZeP,Ferrari,Miggy Dela Rosa,83,2022-04-01,0.847,0.69,1,-7.877,0,0.0127,6e-05,0.0526,0.692,125.004,186662,4
3,20on25jryn53hWghthWWW3,Do It To It,Cherish,80,2021-08-20,0.854,0.806,11,-8.262,0,0.0209,0.0542,0.0703,0.637,124.927,157890,4
4,7fZBQnc0zXwVybgCIrQQil,Belly Dancer,BYOR,81,2022-02-18,0.845,0.797,1,-4.984,1,0.0582,5.57e-06,0.167,0.422,121.985,151475,4
5,5fwSHlTEWpluwOM0Sxnh5k,Pepas,Farruko,81,2021-06-24,0.762,0.766,7,-3.955,1,0.00776,6.98e-05,0.128,0.442,130.001,287120,4
6,47gFO4wiq9rLJo9vz0DP3q,Party Sahne,Ericson,63,2022-10-06,0.84,0.938,5,-4.992,0,0.0717,0.000196,0.256,0.746,135.971,137647,4
7,18asYwWugKjjsihZ0YvRxO,The Motto,Ava Max,81,2021-11-04,0.754,0.763,7,-4.627,0,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4
8,22k0n1bKm5OJOMXPIWkFow,Number,Jay Mason,58,2023-02-16,0.716,0.941,6,-6.206,0,0.0312,1.14e-05,0.707,0.884,125.04,137280,4
9,3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),FAST BOY,83,2022-07-22,0.607,0.767,5,-6.069,0,0.118,0.0,0.122,0.662,123.998,148629,3
10,6f3Slt0GbA2bPZlz0aIFXN,The Business,Tiësto,79,2020-09-16,0.798,0.62,8,-7.079,0,0.414,0.0192,0.112,0.235,120.031,164000,4
11,6OufwUcCqo81guU2jAlDVP,Love Tonight (Edit),Shouse,72,2017-12-14,0.727,0.681,5,-7.114,0,0.00214,0.000307,0.0861,0.448,123.028,241970,4
12,3bjM6KcvV1MwkAm7DJQb9O,Lay All Your Love On Me,Maxim Schunk,69,2022-06-30,0.591,0.768,9,-7.587,1,0.011,5.26e-06,0.479,0.297,129.936,155077,3
13,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Dua Lipa,84,2018-04-06,0.791,0.862,9,-3.24,0,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
14,0yHtv3qIa4gz9NQH3O9HYS,World Hold On - Fisher Rework,Bob Sinclar,50,2022-08-12,0.771,0.883,1,-5.243,0,0.00596,0.00607,0.135,0.895,127.008,178305,4
