,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,5QVX2tGOF4w19BHtWPNpFu,Astronaut In The Ocean,Jordan Rys,21,2021-02-22,0.712,0.867,4,-5.623,0,0.0134,0.00939,0.196,0.544,126.005,156205,4
1,3UsTNapk34kKB0jMAKsdrf,Energy (feat. Sash Sings),Sash Sings,57,2023-01-06,0.767,0.844,10,-5.664,0,0.324,0.271,0.388,0.269,125.99,200952,4
2,3WsbAGQt6HgTj9kg6f466M,Here We Go Again,David Guetta,73,2023-03-03,0.552,0.945,8,-3.771,0,0.00676,0.000174,0.0556,0.384,130.011,164541,4
3,39c9yG431efxO9v0DjpBCD,GTA,Jack Light,61,2022-12-23,0.8,0.946,2,-6.402,1,0.0507,0.096,0.254,0.802,124.992,139680,4
4,0zKbDrEXKpnExhGQRe9dxt,Lay Low,Tiësto,82,2023-01-06,0.534,0.855,1,-4.923,0,0.0607,0.000263,0.346,0.42,122.06,153443,4
5,3rb0tMq42WfggucPm0HHkA,Bad Memories (feat. Elley Duhé & FAST BOY),FAST BOY,83,2022-07-22,0.607,0.767,5,-6.069,0,0.118,0.0,0.122,0.662,123.998,148629,3
6,0dK2mrFT0MKLWyUpiA4EHi,Say Goodbye,Willone,48,2023-02-24,0.567,0.986,3,-2.244,1,0.000159,0.431,0.374,0.342,150.012,232000,4
7,73vIOb4Q7YN6HeJTbscRx5,Miss You,Robin Schulz,88,2022-08-05,0.587,0.742,6,-6.64,0,0.0128,0.00107,0.146,0.199,145.007,206000,4
8,0B3H6se7MYo3D7BmzfvdVN,The Parade,Da Hool,63,2022-02-04,0.793,0.886,10,-5.071,0,0.000755,0.878,0.296,0.285,124.04,158725,4
9,1oXS5eSD7ATYGMu8LlEc98,Blue Nitro,Kura,49,2023-03-03,0.785,0.745,9,-8.914,1,0.0813,0.315,0.129,0.0737,124.976,203520,4
10,3XfPyqAldGwHtxCRUhUoBz,Rumble,"OH, HAYIR!",53,2023-01-30,0.762,0.919,0,-5.197,1,0.162,0.139,0.325,0.254,99.979,110400,4
11,1RwfArdUM01AISnxkpayMc,Alone Again (feat. Afrojack & Mougleta),Mougleta,65,2023-01-13,0.549,0.792,2,-6.155,1,0.219,0.0,0.0889,0.479,121.152,163320,4
12,18asYwWugKjjsihZ0YvRxO,The Motto,Ava Max,81,2021-11-04,0.754,0.763,7,-4.627,0,0.0301,2.23e-05,0.0901,0.464,117.953,164819,4
13,2v33kJNV51EOSJKSLRUKXd,Look At Me Now,Dirty Palm,52,2023-02-10,0.679,0.97,2,-3.574,1,0.000298,0.0319,0.376,0.433,128.155,201562,4
