,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,7mitXLIMCflkhZiD34uEQI,Party Rock Anthem,GoonRock,71,2011-01-01,0.751,0.736,5,-4.168,0,0.0206,0.0,0.265,0.352,130.014,262147,4
1,2s5YN9O8Qv25BjQobPHWVZ,Like A G6,DEV,0,2012,0.431,0.862,7,-7.005,0,0.00618,0.0,0.322,0.696,124.93,219307,4
2,0yLdNVWF3Srea0uzk55zFn,Flowers,Miley Cyrus,100,2023-01-13,0.707,0.681,0,-4.325,1,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4
3,7MIhUdNJtaOnDmC5nBC1fb,Deep Down (feat. Never Dull),Never Dull,78,2022-06-17,0.687,0.818,0,-4.221,1,0.0112,0.0,0.248,0.886,125.952,165753,4
4,3uUuGVFu1V7jTQL60S1r8z,Where Are You Now,Calum Scott,84,2021-07-30,0.671,0.636,6,-8.117,0,0.515,0.000411,0.172,0.262,120.966,148197,4
5,7ef4DlsgrMEH11cDZd32M6,One Kiss (with Dua Lipa),Dua Lipa,84,2018-04-06,0.791,0.862,9,-3.24,0,0.037,2.19e-05,0.0814,0.592,123.994,214847,4
6,2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,77,2019-07-26,0.88,0.751,7,-4.258,0,0.177,6.43e-05,0.106,0.884,117.948,157606,4
7,4uUG5RXrOk84mYEfFvj3cK,I'm Good (Blue),Bebe Rexha,93,2022-08-26,0.561,0.965,7,-3.673,0,0.00383,7.07e-06,0.371,0.304,128.04,175238,4
8,7CEIFwLf4XmFz8okORSizE,Creep,Haley Reinhart,57,2022-06-03,0.615,0.829,6,-4.567,1,0.0555,0.00156,0.426,0.0754,124.013,203226,4
9,20on25jryn53hWghthWWW3,Do It To It,Cherish,80,2021-08-20,0.854,0.806,11,-8.262,0,0.0209,0.0542,0.0703,0.637,124.927,157890,4
10,4ntwMws17qmbQUI1NemGqd,Seven Nation Army,Jaki Nelson,65,2021-01-22,0.689,0.832,4,-4.248,0,0.00694,0.11,0.0885,0.276,125.97,156310,4
11,53jnnqFSRGMDB9ADrNriCA,Bloody Mary,Lady Gaga,84,2011-05-23,0.591,0.637,9,-6.365,0,0.0107,1.95e-06,0.113,0.432,99.998,244760,4
12,5OMwQFBcte0aWFJFqrr5oj,TiK ToK,Kesha,0,2010,0.755,0.832,2,-2.741,0,0.0746,1.27e-06,0.291,0.735,120.032,199693,4
13,2LxdNADWier3MKTei8FbOY,I Was Made For Lovin' You (feat. Nile Rodgers & House Gospel Choir),House Gospel Choir,69,2022-05-06,0.686,0.892,10,-3.186,0,0.0577,7.11e-06,0.0838,0.752,126.03,157206,4
14,4q8PHoRsPUB52LFylX8Ulz,More Than You Know,Axwell /\ Ingrosso,0,2017-05-24,0.645,0.741,5,-4.989,0,0.0323,0.0,0.29,0.534,123.07,203000,4
15,2LEF1A8DOZ9wRYikWgVlZ8,Good Feeling,Flo Rida,74,2012-06-22,0.706,0.89,1,-4.444,0,0.0588,0.00286,0.306,0.684,128.011,248133,4
16,73vIOb4Q7YN6HeJTbscRx5,Miss You,Robin Schulz,88,2022-08-05,0.587,0.742,6,-6.64,0,0.0128,0.00107,0.146,0.199,145.007,206000,4
17,0C4ejWmOTMv8vuYj85mf8m,S&M,Rihanna,72,2010-11-16,0.767,0.682,1,-5.02,1,0.0113,0.00016,0.104,0.833,127.975,243533,4
18,1RwfArdUM01AISnxkpayMc,Alone Again (feat. Afrojack & Mougleta),Mougleta,65,2023-01-13,0.549,0.792,2,-6.155,1,0.219,0.0,0.0889,0.479,121.152,163320,4
19,6k3q5dxWoip5EvfkfqHXAS,Running Up That Hill,Reigan,57,2022-06-10,0.441,0.908,0,-4.585,1,0.00616,0.043,0.409,0.428,117.839,164746,4
20,24Yi9hE78yPEbZ4kxyoXAI,Roses - Imanbek Remix,Imanbek,77,2019-10-09,0.77,0.724,8,-5.484,1,0.0167,0.0107,0.353,0.898,121.975,176840,4
21,08bg5QA5OQ31h73avz0pXP,Stay,Heon Seo,59,2021-09-24,0.569,0.918,1,-2.509,1,0.00241,2.98e-05,0.307,0.541,128.037,171328,4
22,7HXBG0W8gFJwHUh5mVF9tf,Rise,Lost Frequencies,63,2021-03-19,0.689,0.612,6,-6.014,1,0.228,7.77e-06,0.368,0.461,122.076,193018,4
23,2crw1sfb4qbWvq3z9cZPRN,sail away (R3HAB Remix),R3HAB,61,2023-01-06,0.724,0.867,11,-4.238,0,0.0607,0.00036,0.0825,0.737,124.019,133065,4
24,5ZULALImTm80tzUbYQYM9d,Dance Monkey,Tones And I,69,2019-08-29,0.824,0.588,6,-6.4,0,0.692,0.000104,0.149,0.513,98.027,209438,4
