,id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0WtM2NBVQNNJLh6scP13H8,Calm Down (with Selena Gomez),Selena Gomez,92,2022-08-25,0.801,0.806,11,-5.206,1,0.382,0.000669,0.114,0.802,106.999,239318,4
1,3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,89,2013-06-24,0.445,0.537,4,-8.532,0,0.695,1.65e-05,0.0944,0.131,122.769,244360,4
2,7795WJLVKJoAyVoOtCWqXN,I'm Not The Only One,Sam Smith,84,2014-05-26,0.677,0.485,5,-5.795,1,0.529,2.04e-05,0.0766,0.493,82.001,239317,4
3,1JSTJqkT5qHq8MDJnJbRE1,Every Breath You Take,The Police,83,1983-06-17,0.82,0.452,1,-9.796,1,0.543,0.00294,0.0714,0.74,117.401,253920,4
4,1HNkqx9Ahdgi1Ixy2xkKkL,Photograph,Ed Sheeran,83,2014-06-21,0.614,0.379,4,-10.48,1,0.607,0.000464,0.0986,0.201,107.989,258987,4
5,3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,83,2013-08-30,0.422,0.264,8,-7.064,1,0.922,0.0,0.132,0.331,119.93,269560,4
6,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,82,2002-08-08,0.557,0.442,5,-7.224,1,0.731,1.46e-05,0.11,0.213,146.277,309600,4
7,2LawezPeJhN4AWuSB0GtAU,Have You Ever Seen The Rain,Creedence Clearwater Revival,82,1970-12-07,0.741,0.697,0,-7.028,1,0.0664,2.28e-05,0.133,0.774,116.109,160133,4
8,5Ohxk2dO5COHF1krpoPigN,Sign of the Times,Harry Styles,81,2017-05-12,0.516,0.595,5,-4.63,1,0.0275,0.0,0.109,0.222,119.972,340707,4
9,5Nm9ERjJZ5oyfXZTECKmRt,Stay With Me,Sam Smith,81,2014-05-26,0.418,0.42,0,-6.444,1,0.588,6.39e-05,0.11,0.184,84.094,172724,4
10,31AOj9sFz2gM0O3hMARRBx,Losing My Religion,R.E.M.,81,1991-03-12,0.666,0.855,9,-5.051,0,0.179,1.2e-06,0.0987,0.803,125.639,268427,4
11,34gCuhDGsG4bRPIf9bb02f,Thinking out Loud,Ed Sheeran,81,2014-06-21,0.781,0.445,2,-6.061,1,0.474,0.0,0.184,0.591,78.998,281560,4
12,0ofHAoxe9vBkTCp2UQIavz,Dreams - 2004 Remaster,Fleetwood Mac,80,1977-02-04,0.828,0.492,0,-9.744,1,0.0644,0.00428,0.128,0.789,120.151,257800,4
